Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 03, 2022",4778.14,4796.64,4758.17,4796.56,4796.56,3831020000
"Jan 04, 2022",4804.51,4818.62,4774.27,4793.54,4793.54,4683170000
"Jan 05, 2022",4787.99,4797.7,4699.44,4700.58,4700.58,4887960000
"Jan 06, 2022",4693.39,4725.01,4671.26,4696.05,4696.05,4295280000
"Jan 07, 2022",4697.66,4707.95,4662.74,4677.03,4677.03,4181510000
"Jan 10, 2022",4655.34,4673.02,4582.24,4670.29,4670.29,4511810000
"Jan 11, 2022",4669.14,4714.13,4638.27,4713.07,4713.07,4101590000
"Jan 12, 2022",4728.59,4748.83,4706.71,4726.35,4726.35,4048220000
"Jan 13, 2022",4733.56,4744.13,4650.29,4659.03,4659.03,4251730000
"Jan 14, 2022",4637.99,4665.13,4614.75,4662.85,4662.85,4338490000
"Jan 18, 2022",4632.24,4632.24,4568.7,4577.11,4577.11,4748700000
"Jan 19, 2022",4588.03,4611.55,4530.2,4532.76,4532.76,4465740000
"Jan 20, 2022",4547.35,4602.11,4477.95,4482.73,4482.73,4640870000
"Jan 21, 2022",4471.38,4494.52,4395.34,4397.94,4397.94,5589100000
"Jan 24, 2022",4356.32,4417.35,4222.62,4410.13,4410.13,6928110000
"Jan 25, 2022",4366.64,4411.01,4287.11,4356.45,4356.45,5145050000
"Jan 26, 2022",4408.43,4453.23,4304.8,4349.93,4349.93,5570640000
"Jan 27, 2022",4380.58,4428.74,4309.5,4326.51,4326.51,5214200000
"Jan 28, 2022",4336.19,4432.72,4292.46,4431.85,4431.85,5031090000
"Jan 31, 2022",4431.79,4516.89,4414.02,4515.55,4515.55,5098610000
"Feb 01, 2022",4519.57,4550.49,4483.53,4546.54,4546.54,4816830000
"Feb 02, 2022",4566.39,4595.31,4544.32,4589.38,4589.38,4481580000
"Feb 03, 2022",4535.41,4542.88,4470.39,4477.44,4477.44,4401970000
"Feb 04, 2022",4482.79,4539.66,4451.5,4500.53,4500.53,4706290000
"Feb 07, 2022",4505.75,4521.86,4471.47,4483.87,4483.87,4228480000
"Feb 08, 2022",4480.02,4531.32,4465.4,4521.54,4521.54,4459620000
